관리번호,사업장명,좌표정보x(epsg5174),좌표정보y(epsg5174),영업상태명,인허가일자,폐업일자,proximity_metro_dist
3120000-104-2017-00164,이디야커피 가좌역점,192430.747828561,451913.110479249,폐업,2017-10-13,2021-11-24,98.54960241502152
3010000-104-2014-00068,이디야 청구역점,201099.759440018,450833.306115568,폐업,2014-04-09,2024-04-01,68.75689112591809
3140000-104-2016-00027,이디야커피목동등촌로점,187795.606359804,449279.057082134,폐업,2016-03-04,2022-11-18,609.0266721570287
3030000-104-2009-00063,이디야커피(한양대점),203601.487016216,450852.830007464,폐업,2009-09-14,2023-12-29,411.33329113922065
3140000-104-2015-00009,커피에반하다,187619.993071747,445879.054862903,폐업,2015-01-14,2021-08-20,504.45128353224396
3140000-104-2015-00019,커피에반하다,188879.448572755,446808.521815814,폐업,2015-02-06,2016-06-15,123.46361720558718
3030000-104-2013-00090,이디야성수2가점,204799.750078838,448317.872400495,폐업,2013-07-31,2022-08-19,838.8733405576212
3070000-104-2014-00088,이디야커피(국민대점),199965.28221496,456536.160168447,폐업,2014-07-29,2023-03-20,697.6344128776288
3070000-104-2014-00102,이디야카페(정릉아리랑점),201604.627294689,455202.849795642,폐업,2014-09-05,2023-05-11,631.7977993697278
3070000-104-2013-00013,이디야(EDIYA),205060.731432101,456432.184537298,폐업,2013-02-05,2023-03-24,152.66794223141687
3070000-104-2016-00073,감성커피,201422.756203753,454355.100629802,폐업,2016-06-02,2021-04-02,146.82987251418334
3070000-104-2014-00002,이디야커피동소문동점,201066.584474523,454414.343552494,폐업,2014-01-15,2024-11-28,339.0053595811779
3070000-104-2014-00126,이디야 상월곡역사점,204330.488275113,456085.349815294,폐업,2014-10-31,2019-10-29,139.7861804839112
3070000-104-2017-00012,이디야커피돈암아리랑점,201051.072165281,455205.325182072,폐업,2017-01-19,2024-06-27,406.4535138544028
3070000-104-2014-00026,이디야커피정릉뉴타운점,201548.495615664,455659.81785175,폐업,2014-03-26,2023-07-26,433.47871659854906
3180000-104-2006-00031,이디야,192785.997964211,447523.1165117,폐업,2006-05-11,2021-05-12,232.0699839181933
3120000-104-2001-10715,이디야에스프레소,193224.910587162,453018.478353222,폐업,2001-10-11,2017-10-31,1360.057599949926
